salesordernumber,orderdate,year,quarter,month,product,category,subcategory,color,standardcost,region,country,reseller,businesstype,salesperson,quantity,unitprice,sales,totalcost,profit
SO44488,2017-11-03,2017,4,11,"Road-450 Red, 58",Bikes,Road Bikes,Red,884.71,Southeast,United States,New and Used Bicycles,Value Added Reseller,Tsvi Reiter,2,874.79,1749.58,1769.42,-19.84
SO44488,2017-11-03,2017,4,11,"Road-150 Red, 52",Bikes,Road Bikes,Red,2171.29,Southeast,United States,New and Used Bicycles,Value Added Reseller,Tsvi Reiter,2,2146.96,4293.92,4342.58,-48.66
SO44488,2017-11-03,2017,4,11,AWC Logo Cap,Clothing,Caps,Multi,5.71,Southeast,United States,New and Used Bicycles,Value Added Reseller,Tsvi Reiter,2,5.19,10.38,11.42,-1.04
SO44488,2017-11-03,2017,4,11,"LL Road Frame - Black, 52",Components,Road Frames,Black,176.20,Southeast,United States,New and Used Bicycles,Value Added Reseller,Tsvi Reiter,2,178.58,357.16,352.40,4.76
SO44488,2017-11-03,2017,4,11,"Long-Sleeve Logo Jersey, XL",Clothing,Jerseys,Multi,31.72,Southeast,United States,New and Used Bicycles,Value Added Reseller,Tsvi Reiter,2,28.84,57.68,63.44,-5.76
SO44488,2017-11-03,2017,4,11,"Road-450 Red, 44",Bikes,Road Bikes,Red,884.71,Southeast,United States,New and Used Bicycles,Value Added Reseller,Tsvi Reiter,2,874.79,1749.58,1769.42,-19.84
SO45270,2018-02-02,2018,1,2,AWC Logo Cap,Clothing,Caps,Multi,5.71,Southeast,United States,New and Used Bicycles,Value Added Reseller,Tsvi Reiter,2,5.19,10.38,11.42,-1.04
SO45270,2018-02-02,2018,1,2,"Long-Sleeve Logo Jersey, L",Clothing,Jerseys,Multi,31.72,Southeast,United States,New and Used Bicycles,Value Added Reseller,Tsvi Reiter,2,28.84,57.68,63.44,-5.76
SO45270,2018-02-02,2018,1,2,"Road-150 Red, 52",Bikes,Road Bikes,Red,2171.29,Southeast,United States,New and Used Bicycles,Value Added Reseller,Tsvi Reiter,2,2146.96,4293.92,4342.58,-48.66
SO46028,2018-05-02,2018,2,5,AWC Logo Cap,Clothing,Caps,Multi,5.71,Southeast,United States,New and Used Bicycles,Value Added Reseller,Tsvi Reiter,2,5.19,10.38,11.42,-1.04
SO46028,2018-05-02,2018,2,5,"Road-450 Red, 44",Bikes,Road Bikes,Red,884.71,Southeast,United States,New and Used Bicycles,Value Added Reseller,Tsvi Reiter,2,874.79,1749.58,1769.42,-19.84
SO46028,2018-05-02,2018,2,5,"Road-450 Red, 52",Bikes,Road Bikes,Red,884.71,Southeast,United States,New and Used Bicycles,Value Added Reseller,Tsvi Reiter,2,874.79,1749.58,1769.42,-19.84
SO46028,2018-05-02,2018,2,5,"Sport-100 Helmet, Red",Accessories,Helmets,Red,12.03,Southeast,United States,New and Used Bicycles,Value Added Reseller,Tsvi Reiter,2,20.19,40.38,24.06,16.32
SO46028,2018-05-02,2018,2,5,"LL Road Frame - Black, 52",Components,Road Frames,Black,176.20,Southeast,United States,New and Used Bicycles,Value Added Reseller,Tsvi Reiter,2,178.58,357.16,352.40,4.76
SO46028,2018-05-02,2018,2,5,"Road-450 Red, 48",Bikes,Road Bikes,Red,884.71,Southeast,United States,New and Used Bicycles,Value Added Reseller,Tsvi Reiter,2,874.79,1749.58,1769.42,-19.84
SO46028,2018-05-02,2018,2,5,"LL Road Frame - Red, 62",Components,Road Frames,Red,181.49,Southeast,United States,New and Used Bicycles,Value Added Reseller,Tsvi Reiter,2,183.94,367.88,362.98,4.90
SO46028,2018-05-02,2018,2,5,"Long-Sleeve Logo Jersey, XL",Clothing,Jerseys,Multi,31.72,Southeast,United States,New and Used Bicycles,Value Added Reseller,Tsvi Reiter,2,28.84,57.68,63.44,-5.76
SO46933,2018-08-01,2018,3,8,"LL Road Frame - Red, 60",Components,Road Frames,Red,187.16,Southeast,United States,New and Used Bicycles,Value Added Reseller,Tsvi Reiter,2,202.33,404.66,374.32,30.34
SO46933,2018-08-01,2018,3,8,"ML Road Frame-W - Yellow, 38",Components,Road Frames,Yellow,300.12,Southeast,United States,New and Used Bicycles,Value Added Reseller,Tsvi Reiter,2,324.45,648.90,600.24,48.66
SO46933,2018-08-01,2018,3,8,"Road-250 Red, 44",Bikes,Road Bikes,Red,1518.79,Southeast,United States,New and Used Bicycles,Value Added Reseller,Tsvi Reiter,2,1466.01,2932.02,3037.58,-105.56
SO46933,2018-08-01,2018,3,8,"Road-550-W Yellow, 44",Bikes,Road Bikes,Yellow,605.65,Southeast,United States,New and Used Bicycles,Value Added Reseller,Tsvi Reiter,2,600.26,1200.52,1211.30,-10.78
SO46933,2018-08-01,2018,3,8,"ML Road Frame-W - Yellow, 44",Components,Road Frames,Yellow,300.12,Southeast,United States,New and Used Bicycles,Value Added Reseller,Tsvi Reiter,2,324.45,648.90,600.24,48.66
SO47965,2018-11-02,2018,4,11,"Road-250 Black, 44",Bikes,Road Bikes,Black,1320.68,Southeast,United States,New and Used Bicycles,Value Added Reseller,Tsvi Reiter,2,1308.94,2617.88,2641.36,-23.48
SO47965,2018-11-02,2018,4,11,"Road-550-W Yellow, 42",Bikes,Road Bikes,Yellow,605.65,Southeast,United States,New and Used Bicycles,Value Added Reseller,Tsvi Reiter,2,600.26,1200.52,1211.30,-10.78
SO47965,2018-11-02,2018,4,11,"LL Road Frame - Black, 52",Components,Road Frames,Black,170.14,Southeast,United States,New and Used Bicycles,Value Added Reseller,Tsvi Reiter,2,183.94,367.88,340.28,27.60
SO47965,2018-11-02,2018,4,11,"Road-250 Black, 48",Bikes,Road Bikes,Black,1320.68,Southeast,United States,New and Used Bicycles,Value Added Reseller,Tsvi Reiter,2,1308.94,2617.88,2641.36,-23.48
SO47965,2018-11-02,2018,4,11,"Long-Sleeve Logo Jersey, M",Clothing,Jerseys,Multi,29.08,Southeast,United States,New and Used Bicycles,Value Added Reseller,Tsvi Reiter,2,28.84,57.68,58.16,-0.48
SO47965,2018-11-02,2018,4,11,"Road-250 Black, 52",Bikes,Road Bikes,Black,1320.68,Southeast,United States,New and Used Bicycles,Value Added Reseller,Tsvi Reiter,2,1308.94,2617.88,2641.36,-23.48
SO47965,2018-11-02,2018,4,11,"Road-250 Red, 44",Bikes,Road Bikes,Red,1518.79,Southeast,United States,New and Used Bicycles,Value Added Reseller,Tsvi Reiter,2,1466.01,2932.02,3037.58,-105.56
SO49091,2019-02-11,2019,1,2,"Road-250 Red, 44",Bikes,Road Bikes,Red,1518.79,Southeast,United States,New and Used Bicycles,Value Added Reseller,Tsvi Reiter,2,1466.01,2932.02,3037.58,-105.56
SO49091,2019-02-11,2019,1,2,"Road-250 Black, 44",Bikes,Road Bikes,Black,1320.68,Southeast,United States,New and Used Bicycles,Value Added Reseller,Tsvi Reiter,2,1308.94,2617.88,2641.36,-23.48
SO49091,2019-02-11,2019,1,2,"Road-550-W Yellow, 38",Bikes,Road Bikes,Yellow,605.65,Southeast,United States,New and Used Bicycles,Value Added Reseller,Tsvi Reiter,2,600.26,1200.52,1211.30,-10.78
SO49091,2019-02-11,2019,1,2,"Road-250 Black, 52",Bikes,Road Bikes,Black,1320.68,Southeast,United States,New and Used Bicycles,Value Added Reseller,Tsvi Reiter,2,1308.94,2617.88,2641.36,-23.48
SO50191,2019-05-01,2019,2,5,LL Road Rear Wheel,Components,Wheels,Black,49.98,Southeast,United States,New and Used Bicycles,Value Added Reseller,Tsvi Reiter,2,67.54,135.08,99.96,35.12
SO50191,2019-05-01,2019,2,5,"Road-550-W Yellow, 48",Bikes,Road Bikes,Yellow,605.65,Southeast,United States,New and Used Bicycles,Value Added Reseller,Tsvi Reiter,2,600.26,1200.52,1211.30,-10.78
SO50191,2019-05-01,2019,2,5,ML Road Front Wheel,Components,Wheels,Black,110.28,Southeast,United States,New and Used Bicycles,Value Added Reseller,Tsvi Reiter,2,149.03,298.06,220.56,77.50
SO50191,2019-05-01,2019,2,5,"Road-250 Black, 48",Bikes,Road Bikes,Black,1320.68,Southeast,United States,New and Used Bicycles,Value Added Reseller,Tsvi Reiter,2,1308.94,2617.88,2641.36,-23.48
SO51693,2019-08-02,2019,3,8,"HL Road Frame - Red, 44",Components,Road Frames,Red,868.63,Southeast,United States,New and Used Bicycles,Value Added Reseller,Tsvi Reiter,2,858.90,1717.80,1737.26,-19.46
SO51693,2019-08-02,2019,3,8,"HL Road Frame - Black, 44",Components,Road Frames,Black,868.63,Southeast,United States,New and Used Bicycles,Value Added Reseller,Tsvi Reiter,2,858.90,1717.80,1737.26,-19.46
SO51693,2019-08-02,2019,3,8,"Road-350-W Yellow, 40",Bikes,Road Bikes,Yellow,1082.51,Southeast,United States,New and Used Bicycles,Value Added Reseller,Tsvi Reiter,2,1020.59,2041.18,2165.02,-123.84
SO51693,2019-08-02,2019,3,8,"ML Road Frame-W - Yellow, 38",Components,Road Frames,Yellow,360.94,Southeast,United States,New and Used Bicycles,Value Added Reseller,Tsvi Reiter,2,356.90,713.80,721.88,-8.08
SO51693,2019-08-02,2019,3,8,"Road-750 Black, 48",Bikes,Road Bikes,Black,343.65,Southeast,United States,New and Used Bicycles,Value Added Reseller,Tsvi Reiter,2,323.99,647.98,687.30,-39.32
SO51693,2019-08-02,2019,3,8,"ML Road Frame-W - Yellow, 48",Components,Road Frames,Yellow,360.94,Southeast,United States,New and Used Bicycles,Value Added Reseller,Tsvi Reiter,2,356.90,713.80,721.88,-8.08
SO51693,2019-08-02,2019,3,8,"Road-350-W Yellow, 44",Bikes,Road Bikes,Yellow,1082.51,Southeast,United States,New and Used Bicycles,Value Added Reseller,Tsvi Reiter,2,1020.59,2041.18,2165.02,-123.84
SO51693,2019-08-02,2019,3,8,ML Road Pedal,Components,Pedals,Silver/Black,27.57,Southeast,United States,New and Used Bicycles,Value Added Reseller,Tsvi Reiter,2,37.25,74.50,55.14,19.36
SO57017,2019-11-02,2019,4,11,"Road-250 Black, 58",Bikes,Road Bikes,Black,1554.95,Southeast,United States,New and Used Bicycles,Value Added Reseller,Tsvi Reiter,2,1466.01,2932.02,3109.90,-177.88
SO57017,2019-11-02,2019,4,11,"Road-250 Black, 48",Bikes,Road Bikes,Black,1554.95,Southeast,United States,New and Used Bicycles,Value Added Reseller,Tsvi Reiter,2,1466.01,2932.02,3109.90,-177.88
SO57017,2019-11-02,2019,4,11,LL Road Pedal,Components,Pedals,Silver/Black,17.98,Southeast,United States,New and Used Bicycles,Value Added Reseller,Tsvi Reiter,2,24.29,48.58,35.96,12.62
SO57017,2019-11-02,2019,4,11,"Road-350-W Yellow, 44",Bikes,Road Bikes,Yellow,1082.51,Southeast,United States,New and Used Bicycles,Value Added Reseller,Tsvi Reiter,2,1020.59,2041.18,2165.02,-123.84
SO57017,2019-11-02,2019,4,11,"Road-250 Black, 44",Bikes,Road Bikes,Black,1554.95,Southeast,United States,New and Used Bicycles,Value Added Reseller,Tsvi Reiter,2,1466.01,2932.02,3109.90,-177.88
SO57017,2019-11-02,2019,4,11,"Road-350-W Yellow, 48",Bikes,Road Bikes,Yellow,1082.51,Southeast,United States,New and Used Bicycles,Value Added Reseller,Tsvi Reiter,2,1020.59,2041.18,2165.02,-123.84
SO63124,2020-02-01,2020,1,2,"Road-550-W Yellow, 42",Bikes,Road Bikes,Yellow,713.08,Southeast,United States,New and Used Bicycles,Value Added Reseller,Tsvi Reiter,2,672.29,1344.58,1426.16,-81.58
SO63124,2020-02-01,2020,1,2,"Road-350-W Yellow, 48",Bikes,Road Bikes,Yellow,1082.51,Southeast,United States,New and Used Bicycles,Value Added Reseller,Tsvi Reiter,2,1020.59,2041.18,2165.02,-123.84
SO63124,2020-02-01,2020,1,2,"Road-250 Black, 44",Bikes,Road Bikes,Black,1554.95,Southeast,United States,New and Used Bicycles,Value Added Reseller,Tsvi Reiter,2,1466.01,2932.02,3109.90,-177.88
SO63124,2020-02-01,2020,1,2,"Racing Socks, L",Clothing,Socks,White,3.36,Southeast,United States,New and Used Bicycles,Value Added Reseller,Tsvi Reiter,2,5.39,10.78,6.72,4.06
SO63124,2020-02-01,2020,1,2,"Road-250 Black, 52",Bikes,Road Bikes,Black,1554.95,Southeast,United States,New and Used Bicycles,Value Added Reseller,Tsvi Reiter,2,1466.01,2932.02,3109.90,-177.88
SO69394,2020-05-01,2020,2,5,"Road-350-W Yellow, 42",Bikes,Road Bikes,Yellow,1082.51,Southeast,United States,New and Used Bicycles,Value Added Reseller,Tsvi Reiter,2,1020.59,2041.18,2165.02,-123.84
SO69394,2020-05-01,2020,2,5,"Road-550-W Yellow, 44",Bikes,Road Bikes,Yellow,713.08,Southeast,United States,New and Used Bicycles,Value Added Reseller,Tsvi Reiter,2,672.29,1344.58,1426.16,-81.58
SO69394,2020-05-01,2020,2,5,"Road-350-W Yellow, 40",Bikes,Road Bikes,Yellow,1082.51,Southeast,United States,New and Used Bicycles,Value Added Reseller,Tsvi Reiter,2,1020.59,2041.18,2165.02,-123.84
SO69394,2020-05-01,2020,2,5,"Road-350-W Yellow, 48",Bikes,Road Bikes,Yellow,1082.51,Southeast,United States,New and Used Bicycles,Value Added Reseller,Tsvi Reiter,2,1020.59,2041.18,2165.02,-123.84
SO69394,2020-05-01,2020,2,5,"Road-250 Black, 48",Bikes,Road Bikes,Black,1554.95,Southeast,United States,New and Used Bicycles,Value Added Reseller,Tsvi Reiter,2,1466.01,2932.02,3109.90,-177.88
SO43902,2017-08-26,2017,3,8,"Mountain-100 Black, 48",Bikes,Mountain Bikes,Black,1898.09,Southeast,United States,eCommerce Bikes,Warehouse,Tsvi Reiter,2,2024.99,4049.98,3796.18,253.80
SO43902,2017-08-26,2017,3,8,"Mountain-100 Silver, 44",Bikes,Mountain Bikes,Silver,1912.15,Southeast,United States,eCommerce Bikes,Warehouse,Tsvi Reiter,2,2039.99,4079.98,3824.30,255.68
SO43902,2017-08-26,2017,3,8,"Mountain-100 Black, 42",Bikes,Mountain Bikes,Black,1898.09,Southeast,United States,eCommerce Bikes,Warehouse,Tsvi Reiter,2,2024.99,4049.98,3796.18,253.80
SO43902,2017-08-26,2017,3,8,"Sport-100 Helmet, Blue",Accessories,Helmets,Blue,12.03,Southeast,United States,eCommerce Bikes,Warehouse,Tsvi Reiter,2,20.19,40.38,24.06,16.32
SO43902,2017-08-26,2017,3,8,AWC Logo Cap,Clothing,Caps,Multi,5.71,Southeast,United States,eCommerce Bikes,Warehouse,Tsvi Reiter,2,5.19,10.38,11.42,-1.04
SO44552,2017-11-24,2017,4,11,"Long-Sleeve Logo Jersey, L",Clothing,Jerseys,Multi,31.72,Southeast,United States,eCommerce Bikes,Warehouse,Tsvi Reiter,2,28.84,57.68,63.44,-5.76
SO44552,2017-11-24,2017,4,11,"Mountain-100 Black, 48",Bikes,Mountain Bikes,Black,1898.09,Southeast,United States,eCommerce Bikes,Warehouse,Tsvi Reiter,2,2024.99,4049.98,3796.18,253.80
SO44552,2017-11-24,2017,4,11,"HL Mountain Frame - Black, 48",Components,Mountain Frames,Black,699.09,Southeast,United States,eCommerce Bikes,Warehouse,Tsvi Reiter,2,809.76,1619.52,1398.18,221.34
SO44552,2017-11-24,2017,4,11,"Sport-100 Helmet, Red",Accessories,Helmets,Red,12.03,Southeast,United States,eCommerce Bikes,Warehouse,Tsvi Reiter,2,20.19,40.38,24.06,16.32
SO44552,2017-11-24,2017,4,11,"HL Mountain Frame - Silver, 42",Components,Mountain Frames,Silver,623.84,Southeast,United States,eCommerce Bikes,Warehouse,Tsvi Reiter,2,722.59,1445.18,1247.68,197.50
SO44552,2017-11-24,2017,4,11,"HL Mountain Frame - Black, 42",Components,Mountain Frames,Black,617.03,Southeast,United States,eCommerce Bikes,Warehouse,Tsvi Reiter,2,714.70,1429.40,1234.06,195.34
SO45329,2018-02-22,2018,1,2,"Mountain-100 Silver, 44",Bikes,Mountain Bikes,Silver,1912.15,Southeast,United States,eCommerce Bikes,Warehouse,Tsvi Reiter,2,2039.99,4079.98,3824.30,255.68
SO45329,2018-02-22,2018,1,2,"HL Mountain Frame - Silver, 38",Components,Mountain Frames,Silver,623.84,Southeast,United States,eCommerce Bikes,Warehouse,Tsvi Reiter,2,722.59,1445.18,1247.68,197.50
SO45329,2018-02-22,2018,1,2,"Mountain-100 Black, 42",Bikes,Mountain Bikes,Black,1898.09,Southeast,United States,eCommerce Bikes,Warehouse,Tsvi Reiter,2,2024.99,4049.98,3796.18,253.80
SO45329,2018-02-22,2018,1,2,"Mountain-100 Silver, 38",Bikes,Mountain Bikes,Silver,1912.15,Southeast,United States,eCommerce Bikes,Warehouse,Tsvi Reiter,2,2039.99,4079.98,3824.30,255.68
SO45329,2018-02-22,2018,1,2,"Mountain-100 Black, 44",Bikes,Mountain Bikes,Black,1898.09,Southeast,United States,eCommerce Bikes,Warehouse,Tsvi Reiter,2,2024.99,4049.98,3796.18,253.80
SO46090,2018-05-25,2018,2,5,"Mountain-100 Black, 48",Bikes,Mountain Bikes,Black,1898.09,Southeast,United States,eCommerce Bikes,Warehouse,Tsvi Reiter,2,2024.99,4049.98,3796.18,253.80
SO46090,2018-05-25,2018,2,5,"Sport-100 Helmet, Black",Accessories,Helmets,Black,12.03,Southeast,United States,eCommerce Bikes,Warehouse,Tsvi Reiter,2,20.19,40.38,24.06,16.32
SO46090,2018-05-25,2018,2,5,"HL Mountain Frame - Silver, 38",Components,Mountain Frames,Silver,623.84,Southeast,United States,eCommerce Bikes,Warehouse,Tsvi Reiter,2,722.59,1445.18,1247.68,197.50
SO46090,2018-05-25,2018,2,5,"HL Mountain Frame - Black, 48",Components,Mountain Frames,Black,699.09,Southeast,United States,eCommerce Bikes,Warehouse,Tsvi Reiter,2,809.76,1619.52,1398.18,221.34
SO46090,2018-05-25,2018,2,5,"HL Mountain Frame - Black, 42",Components,Mountain Frames,Black,617.03,Southeast,United States,eCommerce Bikes,Warehouse,Tsvi Reiter,2,714.70,1429.40,1234.06,195.34
SO46090,2018-05-25,2018,2,5,AWC Logo Cap,Clothing,Caps,Multi,5.71,Southeast,United States,eCommerce Bikes,Warehouse,Tsvi Reiter,2,5.19,10.38,11.42,-1.04
SO46090,2018-05-25,2018,2,5,"Mountain-100 Black, 42",Bikes,Mountain Bikes,Black,1898.09,Southeast,United States,eCommerce Bikes,Warehouse,Tsvi Reiter,2,2024.99,4049.98,3796.18,253.80
SO47042,2018-08-25,2018,3,8,"Mountain-200 Silver, 46",Bikes,Mountain Bikes,Silver,1117.86,Southeast,United States,eCommerce Bikes,Warehouse,Tsvi Reiter,2,1242.85,2485.70,2235.72,249.98
SO47042,2018-08-25,2018,3,8,LL Mountain Front Wheel,Components,Wheels,Black,26.97,Southeast,United States,eCommerce Bikes,Warehouse,Tsvi Reiter,2,36.45,72.90,53.94,18.96
SO47042,2018-08-25,2018,3,8,"HL Mountain Frame - Black, 38",Components,Mountain Frames,Black,653.70,Southeast,United States,eCommerce Bikes,Warehouse,Tsvi Reiter,2,736.15,1472.30,1307.40,164.90
SO47042,2018-08-25,2018,3,8,"Men's Sports Shorts, L",Clothing,Shorts,Black,24.75,Southeast,United States,eCommerce Bikes,Warehouse,Tsvi Reiter,2,35.99,71.98,49.50,22.48
SO47042,2018-08-25,2018,3,8,"Mountain-200 Silver, 42",Bikes,Mountain Bikes,Silver,1117.86,Southeast,United States,eCommerce Bikes,Warehouse,Tsvi Reiter,2,1242.85,2485.70,2235.72,249.98
SO47042,2018-08-25,2018,3,8,HL Mountain Handlebars,Components,Handlebars,NA,48.55,Southeast,United States,eCommerce Bikes,Warehouse,Tsvi Reiter,2,65.60,131.20,97.10,34.10
SO47042,2018-08-25,2018,3,8,"HL Mountain Frame - Silver, 42",Components,Mountain Frames,Silver,660.91,Southeast,United States,eCommerce Bikes,Warehouse,Tsvi Reiter,2,744.27,1488.54,1321.82,166.72
SO47042,2018-08-25,2018,3,8,"ML Mountain Frame - Black, 38",Components,Mountain Frames,Black,185.82,Southeast,United States,eCommerce Bikes,Warehouse,Tsvi Reiter,2,209.26,418.52,371.64,46.88
SO47042,2018-08-25,2018,3,8,Cable Lock,Accessories,Locks,NA,10.31,Southeast,United States,eCommerce Bikes,Warehouse,Tsvi Reiter,2,15.00,30.00,20.62,9.38
SO47042,2018-08-25,2018,3,8,"Half-Finger Gloves, L",Clothing,Gloves,Black,9.71,Southeast,United States,eCommerce Bikes,Warehouse,Tsvi Reiter,2,14.13,28.26,19.42,8.84
SO48063,2018-11-23,2018,4,11,LL Mountain Handlebars,Components,Handlebars,NA,17.98,Southeast,United States,eCommerce Bikes,Warehouse,Tsvi Reiter,2,24.29,48.58,35.96,12.62
SO48063,2018-11-23,2018,4,11,"HL Mountain Frame - Silver, 38",Components,Mountain Frames,Silver,660.91,Southeast,United States,eCommerce Bikes,Warehouse,Tsvi Reiter,2,744.27,1488.54,1321.82,166.72
SO48063,2018-11-23,2018,4,11,"Mountain-300 Black, 48",Bikes,Mountain Bikes,Black,598.44,Southeast,United States,eCommerce Bikes,Warehouse,Tsvi Reiter,2,647.99,1295.98,1196.88,99.10
SO48063,2018-11-23,2018,4,11,"ML Mountain Frame - Black, 44",Components,Mountain Frames,Black,185.82,Southeast,United States,eCommerce Bikes,Warehouse,Tsvi Reiter,2,209.26,418.52,371.64,46.88
SO48063,2018-11-23,2018,4,11,"Full-Finger Gloves, M",Clothing,Gloves,Black,15.67,Southeast,United States,eCommerce Bikes,Warehouse,Tsvi Reiter,2,22.79,45.58,31.34,14.24
SO48063,2018-11-23,2018,4,11,LL Headset,Components,Headsets,NA,15.18,Southeast,United States,eCommerce Bikes,Warehouse,Tsvi Reiter,2,20.52,41.04,30.36,10.68
SO48063,2018-11-23,2018,4,11,"Men's Bib-Shorts, S",Clothing,Bib-Shorts,Multi,37.12,Southeast,United States,eCommerce Bikes,Warehouse,Tsvi Reiter,2,53.99,107.98,74.24,33.74
SO48063,2018-11-23,2018,4,11,"ML Mountain Frame - Black, 38",Components,Mountain Frames,Black,185.82,Southeast,United States,eCommerce Bikes,Warehouse,Tsvi Reiter,2,209.26,418.52,371.64,46.88
SO48063,2018-11-23,2018,4,11,"HL Mountain Frame - Black, 42",Components,Mountain Frames,Black,653.70,Southeast,United States,eCommerce Bikes,Warehouse,Tsvi Reiter,2,736.15,1472.30,1307.40,164.90
SO48063,2018-11-23,2018,4,11,Cable Lock,Accessories,Locks,NA,10.31,Southeast,United States,eCommerce Bikes,Warehouse,Tsvi Reiter,2,15.00,30.00,20.62,9.38
SO48063,2018-11-23,2018,4,11,"Women's Tights, M",Clothing,Tights,Black,30.93,Southeast,United States,eCommerce Bikes,Warehouse,Tsvi Reiter,2,44.99,89.98,61.86,28.12
SO48063,2018-11-23,2018,4,11,"Men's Bib-Shorts, L",Clothing,Bib-Shorts,Multi,37.12,Southeast,United States,eCommerce Bikes,Warehouse,Tsvi Reiter,2,53.99,107.98,74.24,33.74
SO49149,2019-02-25,2019,1,2,"ML Mountain Frame - Black, 38",Components,Mountain Frames,Black,185.82,Southeast,United States,eCommerce Bikes,Warehouse,Tsvi Reiter,2,209.26,418.52,371.64,46.88
SO49149,2019-02-25,2019,1,2,"Sport-100 Helmet, Blue",Accessories,Helmets,Blue,13.88,Southeast,United States,eCommerce Bikes,Warehouse,Tsvi Reiter,2,20.19,40.38,27.76,12.62
SO49149,2019-02-25,2019,1,2,"Mountain-300 Black, 40",Bikes,Mountain Bikes,Black,598.44,Southeast,United States,eCommerce Bikes,Warehouse,Tsvi Reiter,2,647.99,1295.98,1196.88,99.10
SO49149,2019-02-25,2019,1,2,"Long-Sleeve Logo Jersey, XL",Clothing,Jerseys,Multi,29.08,Southeast,United States,eCommerce Bikes,Warehouse,Tsvi Reiter,2,28.84,57.68,58.16,-0.48
SO49149,2019-02-25,2019,1,2,"HL Mountain Frame - Silver, 46",Components,Mountain Frames,Silver,660.91,Southeast,United States,eCommerce Bikes,Warehouse,Tsvi Reiter,2,744.27,1488.54,1321.82,166.72
SO49149,2019-02-25,2019,1,2,LL Mountain Front Wheel,Components,Wheels,Black,26.97,Southeast,United States,eCommerce Bikes,Warehouse,Tsvi Reiter,2,36.45,72.90,53.94,18.96
SO49149,2019-02-25,2019,1,2,HL Fork,Components,Forks,NA,101.89,Southeast,United States,eCommerce Bikes,Warehouse,Tsvi Reiter,2,137.69,275.38,203.78,71.60
SO49149,2019-02-25,2019,1,2,ML Mountain Rear Wheel,Components,Wheels,Black,104.80,Southeast,United States,eCommerce Bikes,Warehouse,Tsvi Reiter,2,141.62,283.24,209.60,73.64
SO49149,2019-02-25,2019,1,2,ML Headset,Components,Headsets,NA,45.42,Southeast,United States,eCommerce Bikes,Warehouse,Tsvi Reiter,2,61.37,122.74,90.84,31.90
SO49149,2019-02-25,2019,1,2,"Mountain-200 Black, 42",Bikes,Mountain Bikes,Black,1105.81,Southeast,United States,eCommerce Bikes,Warehouse,Tsvi Reiter,2,1229.46,2458.92,2211.62,247.30
SO49149,2019-02-25,2019,1,2,"Full-Finger Gloves, L",Clothing,Gloves,Black,15.67,Southeast,United States,eCommerce Bikes,Warehouse,Tsvi Reiter,2,22.79,45.58,31.34,14.24
SO50306,2019-05-28,2019,2,5,"Mountain-300 Black, 38",Bikes,Mountain Bikes,Black,598.44,Southeast,United States,eCommerce Bikes,Warehouse,Tsvi Reiter,2,647.99,1295.98,1196.88,99.10
SO50306,2019-05-28,2019,2,5,"Full-Finger Gloves, L",Clothing,Gloves,Black,15.67,Southeast,United States,eCommerce Bikes,Warehouse,Tsvi Reiter,2,22.79,45.58,31.34,14.24
SO50306,2019-05-28,2019,2,5,"Mountain-300 Black, 48",Bikes,Mountain Bikes,Black,598.44,Southeast,United States,eCommerce Bikes,Warehouse,Tsvi Reiter,2,647.99,1295.98,1196.88,99.10
SO50306,2019-05-28,2019,2,5,ML Headset,Components,Headsets,NA,45.42,Southeast,United States,eCommerce Bikes,Warehouse,Tsvi Reiter,2,61.37,122.74,90.84,31.90
SO50306,2019-05-28,2019,2,5,LL Fork,Components,Forks,NA,65.81,Southeast,United States,eCommerce Bikes,Warehouse,Tsvi Reiter,2,88.93,177.86,131.62,46.24
SO50306,2019-05-28,2019,2,5,"Mountain-200 Black, 38",Bikes,Mountain Bikes,Black,1105.81,Southeast,United States,eCommerce Bikes,Warehouse,Tsvi Reiter,2,1229.46,2458.92,2211.62,247.30
SO50306,2019-05-28,2019,2,5,ML Mountain Rear Wheel,Components,Wheels,Black,104.80,Southeast,United States,eCommerce Bikes,Warehouse,Tsvi Reiter,2,141.62,283.24,209.60,73.64
SO50306,2019-05-28,2019,2,5,"Mountain-200 Silver, 42",Bikes,Mountain Bikes,Silver,1117.86,Southeast,United States,eCommerce Bikes,Warehouse,Tsvi Reiter,2,1242.85,2485.70,2235.72,249.98
SO50306,2019-05-28,2019,2,5,"Long-Sleeve Logo Jersey, XL",Clothing,Jerseys,Multi,29.08,Southeast,United States,eCommerce Bikes,Warehouse,Tsvi Reiter,2,28.84,57.68,58.16,-0.48
SO50306,2019-05-28,2019,2,5,"HL Mountain Frame - Black, 42",Components,Mountain Frames,Black,653.70,Southeast,United States,eCommerce Bikes,Warehouse,Tsvi Reiter,2,736.15,1472.30,1307.40,164.90
SO46630,2018-07-11,2018,3,7,"Mountain-300 Black, 38",Bikes,Mountain Bikes,Black,598.44,Southeast,United States,Valuable Bike Parts Company,Value Added Reseller,Tsvi Reiter,2,647.99,1295.98,1196.88,99.10
SO46630,2018-07-11,2018,3,7,ML Mountain Rear Wheel,Components,Wheels,Black,104.80,Southeast,United States,Valuable Bike Parts Company,Value Added Reseller,Tsvi Reiter,2,141.62,283.24,209.60,73.64
