productkey,product,category,subcategory,color,standardcost,totalorders,totalquantity,totalrevenue,totalcost,totalprofit,profitmarginpct
498,"HL Touring Frame - Blue, 50",Components,Touring Frames,Blue,601.74,49,107,64451.45,64386.18,65.27,0.10
499,"HL Touring Frame - Blue, 54",Components,Touring Frames,Blue,601.74,148,476,285343.12,286428.24,-1085.12,-0.38
500,"HL Touring Frame - Blue, 60",Components,Touring Frames,Blue,601.74,118,322,192832.22,193760.28,-928.06,-0.48
501,Rear Derailleur,Components,Derailleurs,Silver,53.93,123,302,22009.76,16286.86,5722.90,26.00
502,"LL Touring Frame - Blue, 50",Components,Touring Frames,Blue,199.85,113,292,58414.60,58356.20,58.40,0.10
503,"LL Touring Frame - Blue, 54",Components,Touring Frames,Blue,199.85,90,196,39209.80,39170.60,39.20,0.10
504,"LL Touring Frame - Blue, 58",Components,Touring Frames,Blue,199.85,2,4,800.20,799.40,0.80,0.10
505,"LL Touring Frame - Blue, 62",Components,Touring Frames,Blue,199.85,9,15,3000.75,2997.75,3.00,0.10
506,"LL Touring Frame - Yellow, 44",Components,Touring Frames,Yellow,199.85,109,277,55340.48,55358.45,-17.97,-0.03
507,"LL Touring Frame - Yellow, 50",Components,Touring Frames,Yellow,199.85,100,213,42610.65,42568.05,42.60,0.10
509,"LL Touring Frame - Yellow, 58",Components,Touring Frames,Yellow,199.85,20,36,7201.80,7194.60,7.20,0.10
510,"LL Touring Frame - Blue, 44",Components,Touring Frames,Blue,199.85,14,25,5001.25,4996.25,5.00,0.10
511,"ML Mountain Frame-W - Silver, 40",Components,Mountain Frames,Silver,199.38,231,818,178335.38,163092.84,15242.54,8.55
512,"ML Mountain Frame-W - Silver, 42",Components,Mountain Frames,Silver,199.38,207,568,124079.60,113247.84,10831.76,8.73
513,"ML Mountain Frame-W - Silver, 46",Components,Mountain Frames,Silver,199.38,84,183,39976.35,36486.54,3489.81,8.73
514,Rear Brakes,Components,Brakes,Silver,47.29,99,223,14249.70,10545.67,3704.03,25.99
515,LL Mountain Seat/Saddle,Components,Saddles,NA,12.04,131,304,4940.14,3660.16,1279.98,25.91
516,ML Mountain Seat/Saddle,Components,Saddles,NA,17.38,127,476,11149.18,8272.88,2876.30,25.80
517,HL Mountain Seat/Saddle,Components,Saddles,NA,23.37,199,469,14811.02,10960.53,3850.49,26.00
518,LL Road Seat/Saddle,Components,Saddles,NA,12.04,6,10,162.70,120.40,42.30,26.00
520,HL Road Seat/Saddle,Components,Saddles,NA,23.37,56,128,4042.24,2991.36,1050.88,26.00
521,LL Touring Seat/Saddle,Components,Saddles,NA,12.04,43,91,1480.57,1095.64,384.93,26.00
522,ML Touring Seat/Saddle,Components,Saddles,NA,17.38,40,81,1901.88,1407.78,494.10,25.98
523,HL Touring Seat/Saddle,Components,Saddles,NA,23.37,152,378,11937.24,8833.86,3103.38,26.00
524,"LL Mountain Frame - Silver, 42",Components,Mountain Frames,Silver,144.59,204,587,92676.33,84874.33,7802.00,8.42
525,"LL Mountain Frame - Silver, 44",Components,Mountain Frames,Silver,144.59,139,329,52123.47,47570.11,4553.36,8.74
526,"LL Mountain Frame - Silver, 48",Components,Mountain Frames,Silver,144.59,16,44,6970.92,6361.96,608.96,8.74
527,"LL Mountain Frame - Silver, 52",Components,Mountain Frames,Silver,144.59,143,393,62262.99,56823.87,5439.12,8.74
531,"LL Mountain Frame - Black, 42",Components,Mountain Frames,Black,136.79,150,390,58449.30,53348.10,5101.20,8.73
532,"LL Mountain Frame - Black, 44",Components,Mountain Frames,Black,136.79,205,580,86869.71,79338.20,7531.51,8.67
533,"LL Mountain Frame - Black, 48",Components,Mountain Frames,Black,136.79,143,344,51555.28,47055.76,4499.52,8.73
534,"LL Mountain Frame - Black, 52",Components,Mountain Frames,Black,136.79,9,15,2248.05,2051.85,196.20,8.73
542,LL Mountain Pedal,Components,Pedals,Silver/Black,17.98,173,393,9545.97,7066.14,2479.83,25.98
543,ML Mountain Pedal,Components,Pedals,Silver/Black,27.57,139,305,11361.25,8408.85,2952.40,25.99
544,HL Mountain Pedal,Components,Pedals,Silver/Black,35.96,229,700,33949.82,25172.00,8777.82,25.86
545,LL Road Pedal,Components,Pedals,Silver/Black,17.98,283,801,19456.29,14401.98,5054.31,25.98
546,ML Road Pedal,Components,Pedals,Silver/Black,27.57,246,605,22536.25,16679.85,5856.40,25.99
547,HL Road Pedal,Components,Pedals,Silver/Black,35.96,243,623,30271.57,22403.08,7868.49,25.99
548,Touring Pedal,Components,Pedals,Silver/Black,35.96,65,137,6656.83,4926.52,1730.31,25.99
549,"ML Mountain Frame-W - Silver, 38",Components,Mountain Frames,Silver,199.38,5,7,1529.15,1395.66,133.49,8.73
550,"LL Mountain Frame - Black, 40",Components,Mountain Frames,Black,136.79,6,8,1198.96,1094.32,104.64,8.73
551,"LL Mountain Frame - Silver, 40",Components,Mountain Frames,Silver,144.59,147,396,62680.20,57257.64,5422.56,8.65
552,Front Derailleur,Components,Derailleurs,Silver,40.62,227,723,39619.59,29368.26,10251.33,25.87
553,LL Touring Handlebars,Components,Handlebars,NA,20.46,30,56,1548.40,1145.76,402.64,26.00
554,HL Touring Handlebars,Components,Handlebars,NA,40.66,90,188,10328.72,7644.08,2684.64,25.99
555,Front Brakes,Components,Brakes,Silver,47.29,234,720,45933.45,34048.80,11884.65,25.87
556,LL Crankset,Components,Cranksets,Black,77.92,148,361,38009.69,28129.12,9880.57,25.99
557,ML Crankset,Components,Cranksets,Black,113.88,28,68,10464.52,7743.84,2720.68,26.00
558,HL Crankset,Components,Cranksets,Black,179.82,192,555,134648.85,99800.10,34848.75,25.88
559,Chain,Components,Chains,Silver,8.99,221,690,8363.00,6203.10,2159.90,25.83
560,"Touring-2000 Blue, 60",Bikes,Touring Bikes,Blue,755.15,235,675,491163.75,509726.25,-18562.50,-3.78
561,"Touring-1000 Yellow, 46",Bikes,Touring Bikes,Yellow,1481.94,237,758,959683.22,1123310.52,-163627.30,-17.05
562,"Touring-1000 Yellow, 50",Bikes,Touring Bikes,Yellow,1481.94,166,442,564070.65,655017.48,-90946.83,-16.12
563,"Touring-1000 Yellow, 54",Bikes,Touring Bikes,Yellow,1481.94,97,205,256525.83,303797.70,-47271.87,-18.43
564,"Touring-1000 Yellow, 60",Bikes,Touring Bikes,Yellow,1481.94,257,865,1089543.48,1281878.10,-192334.62,-17.65
565,"Touring-3000 Blue, 54",Bikes,Touring Bikes,Blue,461.44,201,565,229720.70,260713.60,-30992.90,-13.49
566,"Touring-3000 Blue, 58",Bikes,Touring Bikes,Blue,461.44,156,368,149658.08,169809.92,-20151.84,-13.47
567,"Touring-3000 Blue, 62",Bikes,Touring Bikes,Blue,461.44,80,181,74494.96,83520.64,-9025.68,-12.12
568,"Touring-3000 Yellow, 44",Bikes,Touring Bikes,Yellow,461.44,228,715,292003.85,329929.60,-37925.75,-12.99
569,"Touring-3000 Yellow, 50",Bikes,Touring Bikes,Yellow,461.44,196,558,226936.88,257483.52,-30546.64,-13.46
570,"Touring-3000 Yellow, 54",Bikes,Touring Bikes,Yellow,461.44,154,357,145760.72,164734.08,-18973.36,-13.02
571,"Touring-3000 Yellow, 58",Bikes,Touring Bikes,Yellow,461.44,98,212,85073.52,97825.28,-12751.76,-14.99
572,"Touring-3000 Yellow, 62",Bikes,Touring Bikes,Yellow,461.44,240,721,294297.76,332698.24,-38400.48,-13.05
573,"Touring-1000 Blue, 46",Bikes,Touring Bikes,Blue,1481.94,229,731,1035948.76,1083298.14,-47349.38,-4.57
574,"Touring-1000 Blue, 50",Bikes,Touring Bikes,Blue,1481.94,165,446,637976.24,660945.24,-22969.00,-3.60
575,"Touring-1000 Blue, 54",Bikes,Touring Bikes,Blue,1481.94,103,216,308975.04,320099.04,-11124.00,-3.60
576,"Touring-1000 Blue, 60",Bikes,Touring Bikes,Blue,1481.94,260,893,1263913.32,1323372.42,-59459.10,-4.70
577,"Touring-2000 Blue, 46",Bikes,Touring Bikes,Blue,755.15,166,392,285465.42,296018.80,-10553.38,-3.70
578,"Touring-2000 Blue, 50",Bikes,Touring Bikes,Blue,755.15,82,192,139950.72,144988.80,-5038.08,-3.60
579,"Touring-2000 Blue, 54",Bikes,Touring Bikes,Blue,755.15,259,826,597827.48,623753.90,-25926.42,-4.34
580,"Road-350-W Yellow, 40",Bikes,Road Bikes,Yellow,1082.51,303,1151,1163421.46,1245969.01,-82547.55,-7.10
581,"Road-350-W Yellow, 42",Bikes,Road Bikes,Yellow,1082.51,203,642,653568.81,694971.42,-41402.61,-6.33
582,"Road-350-W Yellow, 44",Bikes,Road Bikes,Yellow,1082.51,109,299,305156.41,323670.49,-18514.08,-6.07
583,"Road-350-W Yellow, 48",Bikes,Road Bikes,Yellow,1082.51,308,1277,1283443.06,1382365.27,-98922.21,-7.71
584,"Road-750 Black, 58",Bikes,Road Bikes,Black,343.65,186,505,163614.95,173543.25,-9928.30,-6.07
585,"Touring-3000 Blue, 44",Bikes,Touring Bikes,Blue,461.44,92,218,88525.43,100593.92,-12068.49,-13.63
586,"Touring-3000 Blue, 50",Bikes,Touring Bikes,Blue,461.44,232,712,289465.01,328545.28,-39080.27,-13.50
587,"Mountain-400-W Silver, 38",Bikes,Mountain Bikes,Silver,419.78,96,255,117730.95,107043.90,10687.05,9.08
588,"Mountain-400-W Silver, 40",Bikes,Mountain Bikes,Silver,419.78,159,461,212485.12,193518.58,18966.54,8.93
589,"Mountain-400-W Silver, 42",Bikes,Mountain Bikes,Silver,419.78,92,228,105265.32,95709.84,9555.48,9.08
590,"Mountain-400-W Silver, 46",Bikes,Mountain Bikes,Silver,419.78,89,230,106019.41,96549.40,9470.01,8.93
591,"Mountain-500 Silver, 40",Bikes,Mountain Bikes,Silver,308.22,160,375,119211.60,115582.50,3629.10,3.04
592,"Mountain-500 Silver, 42",Bikes,Mountain Bikes,Silver,308.22,158,370,115256.75,114041.40,1215.35,1.05
593,"Mountain-500 Silver, 44",Bikes,Mountain Bikes,Silver,308.22,146,320,100567.15,98630.40,1936.75,1.93
594,"Mountain-500 Silver, 48",Bikes,Mountain Bikes,Silver,308.22,162,368,114126.79,113424.96,701.83,0.61
595,"Mountain-500 Silver, 52",Bikes,Mountain Bikes,Silver,308.22,169,419,132771.22,129144.18,3627.04,2.73
596,"Mountain-500 Black, 40",Bikes,Mountain Bikes,Black,294.58,91,216,69981.84,63629.28,6352.56,9.08
597,"Mountain-500 Black, 42",Bikes,Mountain Bikes,Black,294.58,138,320,103676.80,94265.60,9411.20,9.08
598,"Mountain-500 Black, 44",Bikes,Mountain Bikes,Black,294.58,123,271,87801.29,79831.18,7970.11,9.08
599,"Mountain-500 Black, 48",Bikes,Mountain Bikes,Black,294.58,161,360,116636.40,106048.80,10587.60,9.08
600,"Mountain-500 Black, 52",Bikes,Mountain Bikes,Black,294.58,95,207,67065.93,60978.06,6087.87,9.08
601,LL Bottom Bracket,Components,Bottom Brackets,NA,23.97,125,319,10332.41,7646.43,2685.98,26.00
603,HL Bottom Bracket,Components,Bottom Brackets,NA,53.94,188,468,34112.52,25243.92,8868.60,26.00
604,"Road-750 Black, 44",Bikes,Road Bikes,Black,343.65,98,272,88125.28,93472.80,-5347.52,-6.07
605,"Road-750 Black, 48",Bikes,Road Bikes,Black,343.65,298,1097,353095.03,376984.05,-23889.02,-6.77
606,"Road-750 Black, 52",Bikes,Road Bikes,Black,343.65,286,875,282843.25,300693.75,-17850.50,-6.31
